Altium Designer Pick and Place Locations
D:\Onedrive\TBZ\OneDrive - TBZ\node-red\extensionv1.0\PCB_Project\PCB Project Outputs\Pick Place\Pick Place for extensionV1.0.txt

========================================================================================================================
File Design Information:

Date:       07.05.20
Time:       16:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                     Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                    
K2         ALQ305                      TopLayer    PNSC-LQ-4-2000x1000x1600_V    61.2140      43.8404      270      "LQ Relays, 5 V Coil Voltage, 200 mW Nominal Operating Power, -40 to 85 degC, 4-Pin LQ, Carton, Case, RoHS"                                    
R61        10k,ptc                     TopLayer    RES_0402i_1005m_-N            125.6030     30.1498      270      "temp sensor, ptc
10k"                                                                                                                        
P6         "Header 2"                  TopLayer    3.5MM_Phoenix_Contact_1984617 86.9670      30.2720      360      "Header, 2-Pin"                                                                                                                                
R31        270                         TopLayer    RES_0603i_1608m_-N            122.1994     69.3166      360      Resistor                                                                                                                                       
R56        270                         TopLayer    RES_0603i_1608m_-N            53.5940      76.9366      270      Resistor                                                                                                                                       
R55        270                         TopLayer    RES_0603i_1608m_-N            68.3514      77.3430      270      Resistor                                                                                                                                       
P9         "USB Micro B"               TopLayer    MCR-B-S-RA-SMT-EH4B-T/R       61.0662      79.5994      180      ""                                                                                                                                             
D25        Grün                        TopLayer    *0603                         53.5940      80.3910      270      "LED; SMD; 0603; grün; 35mcd; 1.6x0.8x0.55mm; 130Â°; 2Ã·2.V; 20mA"                                                                             
D24        "Diode  Schottky"           TopLayer    SOD123                        49.1998      78.7400      270      "Schottky Diode"                                                                                                                               
D23        Grün                        TopLayer    *0603                         68.3514      80.2640      270      "LED; SMD; 0603; grün; 35mcd; 1.6x0.8x0.55mm; 130Â°; 2Ã·2.V; 20mA"                                                                             
C12        10uF                        TopLayer    CAP_0805i_2012m_-N            51.3588      79.7306      90       capacitor                                                                                                                                      
C11        10uF                        TopLayer    CAP_0805i_2012m_-N            50.9016      75.2856      360      capacitor                                                                                                                                      
C10        10uF                        TopLayer    CAP_0805i_2012m_-N            61.3918      74.4982      360      capacitor                                                                                                                                      
Y1         XTAL3                       BottomLayer TSX-3225_2*2.5                71.2470      64.0080      270      "Industrial Ceramic Resonator"                                                                                                                 
U4         STM32F401RBT6               BottomLayer STM-LQFP64_L                  58.4200      63.8810      180      "ARM Cortex-M4 32-bit MCU+FPU, 105 DMIPS, 128 kB Flash, 64 kB Internal RAM, 48 I/Os, 64-pin LQFP, -40 to 85 degC, Tray"                        
U3         MIC5504-3.3YM5-TR           TopLayer    MCHP-SOT-23-M5_V              46.1518      77.8764      270      "Single LDO, 2.5 to 5.5 V, Fixed Out 3.3 V, 0.3 A, -40 to 125 degC, 5-Pin SOT-23 (M5), RoHS, Tape and Reel"                                    
